Feature 1,Feature 2,cluster,huge_cluster_tip,huge_cluster
13.360081,3.532128,5,polar,1.0
5.0040116,12.012347,1,low_polar+aliphatic+G+P,0.0
6.1558013,11.086764,1,low_polar+aliphatic+G+P,0.0
14.75243,7.688647,0,polar,1.0
5.6936026,10.419389,1,low_polar+aliphatic+G+P,0.0
15.377533,8.284647,0,polar,1.0
4.358853,9.123044,1,low_polar+aliphatic+G+P,0.0
-4.726014,4.0189233,6,G,4.0
3.293007,13.022765,1,low_polar+aliphatic+G+P,0.0
2.8775086,12.998598,1,low_polar+aliphatic+G+P,0.0
1.9645759,1.6824561,3,pos_neg_charged,2.0
16.509607,7.4333644,0,polar,1.0
2.1978693,11.252069,1,low_polar+aliphatic+G+P,0.0
4.229341,10.533047,1,low_polar+aliphatic+G+P,0.0
2.1858003,10.523725,1,low_polar+aliphatic+G+P,0.0
4.306562,13.240667,1,low_polar+aliphatic+G+P,0.0
16.164557,7.1382866,0,polar,1.0
2.101911,11.919071,1,low_polar+aliphatic+G+P,0.0
4.208837,12.133576,1,low_polar+aliphatic+G+P,0.0
3.745808,10.654223,1,low_polar+aliphatic+G+P,0.0
5.147504,10.295569,1,low_polar+aliphatic+G+P,0.0
16.620773,6.9505577,0,polar,1.0
1.9171455,0.25327787,3,pos_neg_charged,2.0
1.5004026,11.906231,1,low_polar+aliphatic+G+P,0.0
-1.4820932,6.787661,10,aliphatic,6.0
3.828526,12.70895,1,low_polar+aliphatic+G+P,0.0
1.9315084,0.3615972,3,pos_neg_charged,2.0
4.837219,11.218204,1,low_polar+aliphatic+G+P,0.0
1.3049542,11.726446,1,low_polar+aliphatic+G+P,0.0
4.3133087,12.757705,1,low_polar+aliphatic+G+P,0.0
4.9452357,12.61337,1,low_polar+aliphatic+G+P,0.0
2.934287,11.965136,1,low_polar+aliphatic+G+P,0.0
1.809392,11.145523,1,low_polar+aliphatic+G+P,0.0
2.1296716,1.68412,3,pos_neg_charged,2.0
1.3387935,11.702632,1,low_polar+aliphatic+G+P,0.0
3.8234873,12.731808,1,low_polar+aliphatic+G+P,0.0
3.548766,12.746223,1,low_polar+aliphatic+G+P,0.0
5.0616784,11.59964,1,low_polar+aliphatic+G+P,0.0
3.6150565,11.043964,1,low_polar+aliphatic+G+P,0.0
2.1812303,10.9041195,1,low_polar+aliphatic+G+P,0.0
4.193022,12.560287,1,low_polar+aliphatic+G+P,0.0
1.556138,11.731009,1,low_polar+aliphatic+G+P,0.0
1.2699264,11.690518,1,low_polar+aliphatic+G+P,0.0
3.2532501,12.44546,1,low_polar+aliphatic+G+P,0.0
1.5845553,11.010623,1,low_polar+aliphatic+G+P,0.0
4.029766,10.756129,1,low_polar+aliphatic+G+P,0.0
2.2877607,1.7083535,3,pos_neg_charged,2.0
4.9275703,12.747749,1,low_polar+aliphatic+G+P,0.0
1.6938776,11.2720375,1,low_polar+aliphatic+G+P,0.0
4.5146966,11.978929,1,low_polar+aliphatic+G+P,0.0
4.688091,11.527757,1,low_polar+aliphatic+G+P,0.0
3.803021,9.726281,1,low_polar+aliphatic+G+P,0.0
2.766462,11.41861,1,low_polar+aliphatic+G+P,0.0
4.284105,12.793824,1,low_polar+aliphatic+G+P,0.0
1.9483125,0.37381306,3,pos_neg_charged,2.0
1.3363556,11.380337,1,low_polar+aliphatic+G+P,0.0
16.626698,7.0006814,0,polar,1.0
2.7346992,12.257388,1,low_polar+aliphatic+G+P,0.0
1.793626,0.8400039,3,pos_neg_charged,2.0
2.291071,1.0281615,3,pos_neg_charged,2.0
2.8004475,12.766911,1,low_polar+aliphatic+G+P,0.0
3.9487157,12.935773,1,low_polar+aliphatic+G+P,0.0
2.7589269,10.981489,1,low_polar+aliphatic+G+P,0.0
16.129206,7.159076,0,polar,1.0
1.7414855,11.064277,1,low_polar+aliphatic+G+P,0.0
1.9270204,12.300105,1,low_polar+aliphatic+G+P,0.0
2.9568908,11.653553,1,low_polar+aliphatic+G+P,0.0
3.1621597,13.528091,1,low_polar+aliphatic+G+P,0.0
1.6982542,11.442446,1,low_polar+aliphatic+G+P,0.0
2.9406607,11.877398,1,low_polar+aliphatic+G+P,0.0
15.887398,7.62406,0,polar,1.0
5.3544545,13.057265,1,low_polar+aliphatic+G+P,0.0
2.33789,1.6776731,3,pos_neg_charged,2.0
-2.44341,-2.9106252,11,neg,7.0
-2.4642744,-2.8973181,11,neg,7.0
13.018404,3.1373334,5,polar,1.0
2.2484019,1.6109681,3,pos_neg_charged,2.0
2.223895,10.885014,1,low_polar+aliphatic+G+P,0.0
16.596464,7.550747,0,polar,1.0
2.0136836,0.8874687,3,pos_neg_charged,2.0
3.734741,13.633948,1,low_polar+aliphatic+G+P,0.0
2.483191,12.571433,1,low_polar+aliphatic+G+P,0.0
4.116744,11.995428,1,low_polar+aliphatic+G+P,0.0
3.10652,11.853217,1,low_polar+aliphatic+G+P,0.0
2.616396,1.2525556,3,pos_neg_charged,2.0
8.43441,-0.7696552,4,pos_neg_charged,2.0
8.364332,-0.76621366,4,pos_neg_charged,2.0
2.419277,1.1229169,3,pos_neg_charged,2.0
2.1560063,12.610861,1,low_polar+aliphatic+G+P,0.0
1.7632612,10.871496,1,low_polar+aliphatic+G+P,0.0
2.4175851,1.1315776,3,pos_neg_charged,2.0
8.38045,-0.76656896,4,pos_neg_charged,2.0
16.700357,7.140668,0,polar,1.0
-2.330756,-2.699638,11,neg,7.0
2.5852132,1.371698,3,pos_neg_charged,2.0
17.355871,7.1211767,0,polar,1.0
2.114309,12.75376,1,low_polar+aliphatic+G+P,0.0
3.8059576,13.702674,1,low_polar+aliphatic+G+P,0.0
3.665839,10.460122,1,low_polar+aliphatic+G+P,0.0
4.2336407,9.966019,1,low_polar+aliphatic+G+P,0.0
4.5600386,11.62963,1,low_polar+aliphatic+G+P,0.0
15.138737,7.178104,0,polar,1.0
4.7441792,9.574788,1,low_polar+aliphatic+G+P,0.0
2.0629954,0.09620332,3,pos_neg_charged,2.0
15.3839655,7.985259,0,polar,1.0
3.53004,10.953849,1,low_polar+aliphatic+G+P,0.0
5.732003,10.210318,1,low_polar+aliphatic+G+P,0.0
5.518309,10.744103,1,low_polar+aliphatic+G+P,0.0
6.1731095,10.173928,1,low_polar+aliphatic+G+P,0.0
14.084226,15.520514,2,P,3.0
4.8008323,9.223209,1,low_polar+aliphatic+G+P,0.0
13.824223,16.71992,2,P,3.0
4.5672374,11.550516,1,low_polar+aliphatic+G+P,0.0
3.5645685,13.528948,1,low_polar+aliphatic+G+P,0.0
3.7062223,13.254698,1,low_polar+aliphatic+G+P,0.0
2.2995718,12.783059,1,low_polar+aliphatic+G+P,0.0
4.361865,12.292364,1,low_polar+aliphatic+G+P,0.0
2.8987305,12.040315,1,low_polar+aliphatic+G+P,0.0
4.1307197,12.874055,1,low_polar+aliphatic+G+P,0.0
3.8301167,10.954758,1,low_polar+aliphatic+G+P,0.0
5.2714834,13.29456,1,low_polar+aliphatic+G+P,0.0
5.4811935,12.912096,1,low_polar+aliphatic+G+P,0.0
2.342124,13.66448,1,low_polar+aliphatic+G+P,0.0
2.601223,0.9296487,3,pos_neg_charged,2.0
-2.478909,-2.7519538,11,neg,7.0
5.0334134,11.9565935,1,low_polar+aliphatic+G+P,0.0
16.629705,7.6141806,0,polar,1.0
3.729049,12.705329,1,low_polar+aliphatic+G+P,0.0
12.956505,3.140159,5,polar,1.0
3.4495153,12.122133,1,low_polar+aliphatic+G+P,0.0
4.3620696,12.098992,1,low_polar+aliphatic+G+P,0.0
8.473882,-0.75809824,4,pos_neg_charged,2.0
2.4034195,12.2331705,1,low_polar+aliphatic+G+P,0.0
2.7060273,12.862149,1,low_polar+aliphatic+G+P,0.0
16.4025,6.988372,0,polar,1.0
3.272683,12.5066395,1,low_polar+aliphatic+G+P,0.0
15.626505,7.4611797,0,polar,1.0
5.437535,12.016027,1,low_polar+aliphatic+G+P,0.0
3.6856492,12.636529,1,low_polar+aliphatic+G+P,0.0
-2.4838445,-2.8969166,11,neg,7.0
3.2664988,12.956252,1,low_polar+aliphatic+G+P,0.0
3.7404397,12.133538,1,low_polar+aliphatic+G+P,0.0
3.7204409,13.516468,1,low_polar+aliphatic+G+P,0.0
2.4683194,12.819954,1,low_polar+aliphatic+G+P,0.0
5.3580146,11.310137,1,low_polar+aliphatic+G+P,0.0
2.3077836,12.378152,1,low_polar+aliphatic+G+P,0.0
5.240434,12.822149,1,low_polar+aliphatic+G+P,0.0
4.4094987,13.0837965,1,low_polar+aliphatic+G+P,0.0
2.1018314,1.3988177,3,pos_neg_charged,2.0
2.3292768,13.179713,1,low_polar+aliphatic+G+P,0.0
15.284936,8.513724,0,polar,1.0
15.787053,8.146247,0,polar,1.0
14.381215,15.237116,2,P,3.0
6.1348867,12.350202,1,low_polar+aliphatic+G+P,0.0
14.109959,15.609496,2,P,3.0
4.3640723,10.89343,1,low_polar+aliphatic+G+P,0.0
3.788168,13.638849,1,low_polar+aliphatic+G+P,0.0
3.9559102,13.052471,1,low_polar+aliphatic+G+P,0.0
