Feature 1,Feature 2,cluster,huge_cluster_tip,huge_cluster
1.2921629,12.074827,1,low_polar+aliphatic+G+P,0.0
1.8189782,0.31105432,3,pos_neg_charged,2.0
1.2956247,12.56125,1,low_polar+aliphatic+G+P,0.0
1.2770041,0.8304485,3,pos_neg_charged,2.0
2.9110737,12.686871,1,low_polar+aliphatic+G+P,0.0
4.6522846,8.344698,1,low_polar+aliphatic+G+P,0.0
2.2749581,0.7585772,3,pos_neg_charged,2.0
5.844443,0.1751911,9,pos,5.0
2.1803732,11.937283,1,low_polar+aliphatic+G+P,0.0
5.329132,-0.5305631,9,pos,5.0
1.4313521,12.28055,1,low_polar+aliphatic+G+P,0.0
2.2404542,1.410083,3,pos_neg_charged,2.0
